Timestamp,¿Cuál es tu género?,¿En qué rango de edad te encuentras?,¿Tienes licencia de conducir vigente?,¿Realizaste algún examen o curso para obtener tu licencia de manejo?,"Aproximadamente, ¿Cuánto tiempo pasas manejando a la semana dentro de la CDMX?",¿Cuánto tiempo llevas manejando dentro de la Ciudad de México?,"Cuando tienes una pregunta relacionada con el tránsito de la Ciudad de México, ¿En dónde buscas información?","Si existiera un chatbot sencillo y rápido que responda preguntas de tránsito, ¿Con qué frecuencia lo llegarías a usar?",Escribe una pregunta relacionada al tránsito que no sepas como responder. (Ejemplo. ¿Cuál es el grado máximo de alcohol con el que puedo manejar?),Escribe otra pregunta relacionada al tránsito que no sepas como responder.,"¿Te interesaría un chatbot que respondiera preguntas no solo relacionadas con el tránsito, sino con todo el sistema legal mexicano?"
2/10/2024 16:57:56,Femenino,20-30,No,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Puedo meter un amparo si me para el alcoholímetro? ,Cuando no circulo? ,Sí
2/10/2024 17:02:03,Masculino,+ de 60,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Me pueden cancelar la licencia de conducir permanente ? ,Que se hace en el servicio comunitario? ,No creo utilizarla
2/10/2024 17:03:47,Femenino,+ de 60,No,No,Entre 5 y 10 horas a la semana,Más de 15 años,Le pregunto a alguien que sepa la infromación,Una vez al mes,A los cuantos puntos menos tengo que hacer servicio conunitario? ,Me quitan puntos cuando manejo un coche que nos mío y me sancionan? ,No creo utilizarla
2/10/2024 17:09:56,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,Le pregunto a alguien que sepa la infromación,Una vez al día,¿Si se llevan el coche al corralón como lo saco? ,¿Si se llevan el coche al corralón como lo saco? ,Sí
2/10/2024 17:11:59,Masculino,30-40,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Cuál es la ruta más rápida para llegar a…? ,Cuál es la ubicación en tiempo real de los alcoholímetros?,No
2/10/2024 17:15:55,Femenino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Le pregunto a alguien que sepa la infromación,No creo utilizarla de forma frecuente,Se pueden llevar mi coche al corralón si cometo una infección?,Se pueden llevar mi coche al corralón si cometo una infección?,Sí
2/10/2024 17:17:23,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Menos de 1 año,Google,Una vez a la semana,Si manejo con música alta pueden detenerme? ,Pueden revisar mi auto si una orden? ,Sí
2/10/2024 17:22:20,Femenino,16-20,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al mes,¿Se pueden llevar mi coche a cualquier corralón o tiene que ser el más cercano de donde me lo quitaron?,¿Qué pasa si me chocan y la otra persona huye?,Sí
2/10/2024 17:26:27,Masculino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,Puedo manejar bajo la influencia de analgesicos potentes?,"Si los coches viajan en carriles y los trenes en vías, por que los coches se desvían y los trenes se descarrilan?",Sí
2/10/2024 17:29:44,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Más de una vez al día,¿Cuál es el grado máximo de alcohol con el que puedo manejar?,¿Después de qué hora las mujeres pueden pasarse los altos?,Sí
2/10/2024 17:29:57,Femenino,+ de 60,Sí,Sí,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,"Que pasa con los acompañantes de un coche ,cuando rebasa el grado de alcohol el conductor ","Que pasa si atropellas a alguien , pero si lo auxilias ",Sí
2/10/2024 17:32:31,Femenino,40-50,Sí,Sí,Entre 10 y 20 horas a la semana,Más de 15 años,Google,Una vez a la semana,Me puedo estacionar en esta zona ,Hasta que hora es el parquímetro ,Sí
2/10/2024 17:32:34,Masculino,40-50,Sí,Sí,Menos de 5 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,Porque tanta gente se pasa los altos frente a la poli lucia y no hay sanciones ?,Porque no se sanciona a los ambulantes que piden dinero o venden en la calle incluyendo vías rápidas poniéndose en riesgo ?,Sí
2/10/2024 17:38:01,Femenino,20-30,No,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Qué significa el cartel que tiene una “Y” ,Es verdad que de madrugada se pueden pasar los semaforos en alto o acontece multa?,No creo utilizarla
2/10/2024 17:38:41,Femenino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 1-5 años,Google,Más de una vez al día,De cuanto es la multa si una moto transita en carriles centrales,Cuanto vale la UMA de las multas que consideran,Sí
2/10/2024 17:39:27,Femenino,20-30,Sí,No,Entre 10 y 20 horas a la semana,Entre 1-5 años,"ChatGPT, Bard o alguna otra  AI",No creo utilizarla de forma frecuente,Por qué razones podrían pararme? ,Quienes pueden detenerte?,No creo utilizarla
2/10/2024 17:40:20,Masculino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez a la semana,0.5,Que pasa si me quedo en una zona donde no puedo estacionarme pero porque se me descompuso el coche ,Sí
2/10/2024 17:42:46,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Menos de 1 año,Google,Una vez a la semana,Las razones correctas por las cuales me pueden detener ,Cuál es una razón por la cual puedo tener multas ,Sí
2/10/2024 17:44:01,Masculino,20-30,Sí,Sí,Menos de 5 horas a la semana,Entre 5-15 años,No sé donde buscar información,No creo utilizarla de forma frecuente,Los policías de tránsito pueden quitarte documentos al pararte? Pueden exigirte que bajes del coche? ,Cosas que tengan que ver los policias porque luego abusan,Sí
2/10/2024 17:45:16,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez a la semana,Cuáles son las excepciones al Hoy No Circula?,Me pueden multar si…,Sí
2/10/2024 17:51:25,Femenino,50-60,Sí,Sí,Entre 10 y 20 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,"Si le pego a un motociclista que va circulando entre los carriles, no debería ser su culpa?",Cuál es la distancia máxima que puedo recorrer en reversa?,Sí
2/10/2024 17:52:12,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,"Leyes, reglamentos",Una vez al día,Que pasa si manejo sin una licencia vigente ,Cual es la multa por ir rápido ,Sí
2/10/2024 17:52:56,Femenino,20-30,Sí,Sí,Más de 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Derecho de vía en las glorietas?,Quienes (policías) te pueden parar y para que?,Sí
2/10/2024 17:53:31,Femenino,50-60,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,Google,Una vez al mes,¿Cuanto es la multa por conducir sin verificación?,xxx,No
2/10/2024 18:04:07,Femenino,20-30,Sí,No,Menos de 5 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,¿Cuál es el nivel máximo de decibeles para mi música en avenidas principales?,¿Cómo pago mis multas?,No creo utilizarla
2/10/2024 18:04:50,Masculino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente, ¿Cuantos metros de reversa estan permitidos?,costos por multa,Sí
2/10/2024 18:07:19,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Menos de 1 año,"Leyes, reglamentos",No creo utilizarla de forma frecuente,A partir de que hora Hay vuelta continua a la derecha en la CDMX,Porque las moticicletas pueden utilizar la ciclovía sin ser sancionadas? ,Sí
2/10/2024 18:12:43,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Menos de 1 año,Google,Una vez a la semana,Quienes son las autoridades que pueden levantarme la infracción?,Donde denuncio que el policia de transito me pidió mordida?,Sí
2/10/2024 18:14:31,Masculino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Preferencia en las glorietas,"Vuelta continua a la derexha, valida?",Sí
2/10/2024 18:14:38,Femenino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿Cuales son las razones por las que un oficial te puede detener?,¿Siempre que me detengan se pueden llevar mi coche? ,Sí
2/10/2024 18:15:29,Masculino,40-50,Sí,Sí,Menos de 5 horas a la semana,Entre 1-5 años,Google,Una vez a la semana,En que vias hay vuelta a a la derecha continua,Distancia que se debe de dejar con ciclistas en vias secundarias,Sí
2/10/2024 18:22:14,Femenino,16-20,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,No creo utilizarla de forma frecuente,¿Cual es el grado máximo de alcohol con el que puedo manejar?,No sep,Sí
2/10/2024 18:24:23,Femenino,20-30,Sí,Sí,Menos de 5 horas a la semana,Entre 1-5 años,Google,Una vez a la semana,¿Zonas donde habrá manifestaciones hoy?,¿Por qué está cerrada esta calle?,No creo utilizarla
2/10/2024 18:24:28,Masculino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿De cuánto es la muta por x?,¿Pueden llevar mi coche al corralon?,No creo utilizarla
2/10/2024 18:30:48,Masculino,20-30,Sí,No,Menos de 5 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Cómo puedo apelar una fotomulta por exceso de velocidad? ,Sobre las verificaciones ,Sí
2/10/2024 18:33:24,Femenino,20-30,Sí,No,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,-,-,Sí
2/10/2024 18:34:50,Masculino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Cual es la multa por conducir con licencia vencida,cuando se paga el tenencia,No creo utilizarla
2/10/2024 18:34:59,Masculino,20-30,Sí,Sí,Menos de 5 horas a la semana,Entre 5-15 años,Google,Una vez a la semana,"Cierre de vialidades, manifestaciones",Manifestaciones ,Sí
2/10/2024 18:36:16,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,¿Dónde  puedo pedir que arreglen una calle?,¿Quién es el encargado de pavimentar las calles?,Sí
2/10/2024 18:44:20,Femenino,20-30,Sí,No,Más de 20 horas a la semana,Entre 1-5 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,¿Cómo saber el límite Máximo de velocidad en una avenida cuando no hay señalización? ,¿Puedo manejar con mi licencia digital de CDMX en otro estado? ,Sí
2/10/2024 18:56:29,Femenino,20-30,Sí,Sí,Menos de 5 horas a la semana,Entre 5-15 años,Google,Más de una vez al día,Cuando se considera mi culpa si en un incidente le pego a alguien en la parte trasera de su coche,¿Qué pasa si llegan los ajustadores de otras personas involucradas en un incidente y mi ajustador no se presenta?,No creo utilizarla
2/10/2024 18:57:40,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,"ChatGPT, Bard o alguna otra  AI",Más de una vez al día,Velocidad máxima en las calles “normales”,Por qué me pueden multar?,No creo utilizarla
2/10/2024 18:59:13,Masculino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Que multas implican corralón? ,El monto de las multas,Sí
2/10/2024 18:59:13,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez a la semana,Te ponen un papel cuando te multa el parquímetro por tener placas de la CDMX para avisarte?,En qué casos te pueden llevar al corralón?,Sí
2/10/2024 19:03:29,Masculino,20-30,No,No,Menos de 5 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,¿Cuánto es la multa para x acción?,¿Me pueden llevar al corralón por x acción?,Sí
2/10/2024 19:10:23,Masculino,20-30,Sí,No,Entre 10 y 20 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,¿Cuál es el monto de una multa por no respetar un alto?,¿Cuál es el costo de la multa por parar en la zona de motocicletas durante un alto?,Sí
2/10/2024 19:13:20,Masculino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Más de una vez al día,¿Que autoridad puede infraccionarme?,¿Como puedo defenderme de una multa de tránsito?,Sí
2/10/2024 19:35:43,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Cómo renovar mi licencia?,Como renovar mi tarjeta de circulación ,No creo utilizarla
2/10/2024 19:42:57,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Quien tiene la preferencia en la glorieta? ,-,No creo utilizarla
2/10/2024 19:45:04,Femenino,50-60,Sí,No,Menos de 5 horas a la semana,Más de 15 años,Google,Una vez al mes,Cuánto es la multa por estacionarse en un lugar prohibido?,Existe la vuelta continua sin semáforo? ,Sí
2/10/2024 19:45:30,Masculino,20-30,Sí,No,Menos de 5 horas a la semana,Entre 1-5 años,Google,No creo utilizarla de forma frecuente,Como estas? ,Cuanto recomienda darle al mordelon? ,Sí
2/10/2024 19:48:06,Masculino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Cuál es la orden de preferencia de vehículos motorizados en caso de responsabilidad vial ,Cuál es el límite de velocidad permitido para motocicletas o el mismo aplica para todos los vehículos ,Sí
2/10/2024 19:50:27,Femenino,20-30,Sí,No,Menos de 5 horas a la semana,Menos de 1 año,Le pregunto a alguien que sepa la infromación,Una vez al mes,¿Qué oficiales son los que realmente pueden detenerme y multarme?,Existe una ley respecto al uso inapropiado del claxon?,Sí
2/10/2024 19:50:47,Masculino,40-50,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Por qué me paran los que no son de tránsito para temas de tránsito? ,Como identificar exactamente los límites de cdmx-edomex ,Sí
2/10/2024 19:57:58,Femenino,16-20,Sí,No,Entre 10 y 20 horas a la semana,Menos de 1 año,Le pregunto a alguien que sepa la infromación,Una vez a la semana,Me puedo pasar los altos a partir de una hora específica?,.,Sí
2/10/2024 19:58:15,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez a la semana,Dónde puedo denunciar a un camión que está contaminando la ciudad ?,Bajo que argumentos me pueden pedir una revisión del coche?,Sí
2/10/2024 19:59:30,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,No sé donde buscar información,Una vez a la semana,Cual es la.multa por estacionarse en un hidrante,Cual es la distancia del hidrante para que no sea multa por estacionarse cerca,Sí
2/10/2024 20:09:17,Femenino,20-30,Sí,No,Menos de 5 horas a la semana,Entre 1-5 años,Google,Una vez al mes,¿Dónde es permitido hacer vueltas en u?,¿Que hacer si me chocan y se dan a la fuga?,Sí
2/10/2024 20:17:20,Femenino,16-20,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al día,A,A,Sí
2/10/2024 20:26:34,Femenino,20-30,No,No,Menos de 5 horas a la semana,Menos de 1 año,Le pregunto a alguien que sepa la infromación,Una vez a la semana,Cómo sabes las velocidades permitidas para cada calle?,No sé,Sí
2/10/2024 20:26:45,Femenino,20-30,No,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Que pasa con mis multas CDMX si mi auto tiene placas de Cuernavaca?,Cuál es el no circula vigente en CDMX?,Sí
2/10/2024 20:30:45,Masculino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al día,"Justamente, cual es el grado maximo de alcohol con el que puedo manejar",En donde hay manifestaciones o rutas sin accidentes (para carretera),Sí
2/10/2024 20:41:57,Masculino,+ de 60,Sí,No,Entre 5 y 10 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,No lo sé!,Qué tipo de policía me puede infraccionar,Sí
2/10/2024 20:50:23,Femenino,20-30,No,No,Menos de 5 horas a la semana,Menos de 1 año,"Leyes, reglamentos",Más de una vez al día,En que supuestos se pueden llevar mi coche al corralón ,Que hago si me quieren extorsionar para dar una mordida ,Sí
2/10/2024 21:16:48,Masculino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Le pregunto a alguien que sepa la infromación,Una vez a la semana,¿Cuándo llevo la preferencia en una glorieta?,¿Todas las vueltas a la derecha son continuas?,Sí
2/10/2024 21:29:52,Femenino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,Cuando las multas son economicas,Cómo sacar tu coche del corralón ,No
2/10/2024 21:31:56,Masculino,40-50,Sí,Sí,Entre 10 y 20 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,Cuál es el número Máximo de personas que puedo transportar en mi auto particular?,Cuál es el monto de una multa que incluya arrastre y corralón?,Sí
2/10/2024 21:39:25,Masculino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,¿Cuáles son los requerimientos necesarios para que te detenga una patrulla(sin ser de tránsito)?,Hay una edad máxima para conducir? ,Sí
2/10/2024 22:02:37,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez a la semana,en que situaciones las autoridades se pueden llevar tu coche al corralón ?,es legal que una autoridad sin razón alguna te pida tus documentos cuando estas manejando?,Sí
2/10/2024 22:05:20,Femenino,20-30,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 1-5 años,Le pregunto a alguien que sepa la infromación,No creo utilizarla de forma frecuente,NA,NA,No creo utilizarla
2/10/2024 22:21:52,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al mes,puedo usar el teléfono en el semáforo? ,qué policía puede pararme? ,Sí
2/10/2024 22:22:47,Femenino,20-30,Sí,Sí,Más de 20 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,¿Qué pasa si me paso de velocidad en el segundo piso? ,¿Porque me pueden poner la araña? ,No creo utilizarla
2/10/2024 22:33:47,Femenino,50-60,No,No,Entre 5 y 10 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente, , ,No creo utilizarla
2/10/2024 22:50:41,Masculino,40-50,Sí,Sí,Más de 20 horas a la semana,Más de 15 años,Google,Una vez al día,Dónde me puedo estacionar ,Velocidad máxima ,Sí
2/10/2024 22:53:38,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al mes,¿Cómo tengo que transportar a mis perros? ,¿Con quién me comunico si tuve un incidente que fuera responsabilidad del gobierno? (Ej. se cae un árbol/ escombro/ etc. sobre mi carro),Sí
2/10/2024 22:54:41,Femenino,40-50,Sí,Sí,Menos de 5 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,En qué situaciones me pueden llevar al corralón?,"Cuándo 
",Sí
2/10/2024 23:00:38,Masculino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Que debe mencionar un permiso para revisar mi carro?,Cuando aplica corralon y cuando no,Sí
2/10/2024 23:11:03,Femenino,50-60,Sí,No,Entre 10 y 20 horas a la semana,Más de 15 años,Google,Una vez al mes,¿Cuál es la sanción por traer la licencia vencida?,¿Cuál es la sanción por usar el celular manejando?,Sí
2/10/2024 23:20:38,Femenino,20-30,Sí,Sí,Más de 20 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,Que hacer ante una extorsión de la policía ,No se ,No creo utilizarla
2/10/2024 23:29:16,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez a la semana,"Cuales son las multas por ""X"" infraccion",En qué casos pueden llevar mi coche al corralón,Sí
2/10/2024 23:53:36,Femenino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿Cuanto es la multa por no traer llanta de refaccion? ,¿Existe infracción por quedarme sin gasolina? ,Sí
2/11/2024 0:31:11,Masculino,20-30,Sí,Sí,Más de 20 horas a la semana,Entre 5-15 años,"Leyes, reglamentos",Una vez al mes,Cuáles son los motivos para retirarte el vehículo? ,Quien tiene preferencia en las rotondas ? ,Sí
2/11/2024 0:38:38,Masculino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,No creo utilizarla de forma frecuente,Hoy circula mi coche?,Hay parquímetro en X alcaldía hoy?,Sí
2/11/2024 1:11:59,Masculino,30-40,Sí,Sí,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Si me acusan de un accidente que no provoqué y no hay pruebas ¿cómo puedo defenderme además de llamando al seguro?,¿En dónde puedo denunciar a un policía de tránsito que abusó de su autoridad conmigo?,Sí
2/11/2024 1:17:39,Masculino,20-30,Sí,No,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿Qué artículo ampara a los policías para realizar una inspección?,¿Son válidas las inspecciones de “rutina”?,Sí
2/11/2024 2:35:26,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al mes,Proceso de cambio de placas foráneas a CdMx,Que es la verificación voluntaria,Sí
2/11/2024 2:40:23,Masculino,40-50,Sí,Sí,Menos de 5 horas a la semana,Más de 15 años,Google,Más de una vez al día,Porque no sincronizan las semáforos ,Porque no hay agentes de transisto en vialidades ,Sí
2/11/2024 5:01:34,Femenino,20-30,Sí,Sí,Menos de 5 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿Puedo conducir sobre un carril que no esté restringido pero diga 'BUS'?,¿Desde qué hora y en qué calles me puedo pasar el alto?,No creo utilizarla
2/11/2024 6:51:57,Femenino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,Le pregunto a alguien que sepa la infromación,Una vez al mes,"¿Si tengo la puerta abierta y un auto pasa y se la lleva, qué procede?","¿Si estoy en el segundo piso de periférico y tengo problemas con el auto, puede subir una grúa para auxiliarme?",Sí
2/11/2024 7:18:27,Masculino,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Menos de 1 año,Google,Una vez al mes,¿Cuáles son las regulaciones específicas para el uso de scooters eléctricos en las vía públicas?,¿Cuál es el procedimiento adecuado a seguir en caso de presenciar un accidente de tráfico y ser la única persona en el lugar?,Sí
2/11/2024 7:49:20,Masculino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Le pregunto a alguien que sepa la infromación,Una vez al mes,Consecuencias de no verificar ,Cómo sacar placas de Morelos ,Sí
2/11/2024 7:50:15,Masculino,30-40,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,Google,Una vez a la semana,¿Cuál es la velocidad máxima para circular en periférico?,¿Cuándo debo verificar mi vehículo si las placas son xxx?,Sí
2/11/2024 8:24:09,Femenino,40-50,Sí,No,Menos de 5 horas a la semana,Más de 15 años,Google,Una vez al mes,Cuáles son los motivos de corralón?,Porque aunque hay letreros de no estacionarse la gente se estaciona y no hay sanción?,Sí
2/11/2024 8:24:52,Prefiero no contestar,20-30,Sí,Sí,Entre 5 y 10 horas a la semana,Entre 1-5 años,"ChatGPT, Bard o alguna otra  AI",Una vez al mes,"¿Cuáles son las medidas de seguridad adicionales recomendadas al conducir en condiciones climáticas extremas, como fuertes lluvias o nevadas intensas?",¿Cuáles son los criterios exactos que se utilizan para determinar la cantidad de puntos que se restan por una infracción de tráfico específica?,Sí
2/11/2024 8:33:05,Masculino,40-50,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,Google,Una vez al día,La tarjeta de circulación se tiene que renovar física o digitalmente o sólo basta con tener el refrendo pagado y vigente,Las foto multas siguen vigentes?,Sí
2/11/2024 8:51:26,Masculino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al mes,¿Qué tipo de sanciones existen?,¿Cómo actuar en caso de un siniestro?,Sí
2/11/2024 8:58:37,Femenino,40-50,Sí,Sí,Entre 10 y 20 horas a la semana,Más de 15 años,Google,No creo utilizarla de forma frecuente,grado de alcohol con el que puedo manejar,tipos de multas acorde a la infracción,Sí
2/11/2024 10:33:09,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al día,Cuando se paga la tenencia ,Multas por todo,Sí
2/11/2024 11:00:38,Femenino,20-30,Sí,No,Entre 10 y 20 horas a la semana,Entre 5-15 años,Le pregunto a alguien que sepa la infromación,Una vez al mes,Cuales son las causas por las que me puede detener un policía de tránsito,Cuales son los rangos de multa por infracciones de transito,Sí
2/11/2024 15:20:05,Masculino,30-40,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Le pregunto a alguien que sepa la infromación,Una vez a la semana,Las bicicletas pueden seguir ocupando un carril completo aunque exista ciclovía?,Xxxx,Sí
2/11/2024 18:55:10,Femenino,+ de 60,Sí,No,Entre 5 y 10 horas a la semana,Más de 15 años,"Leyes, reglamentos",No creo utilizarla de forma frecuente,"Qué pasa, por Ley, a un conductor que lastima a un ciclasta o peatón porque esyos últimos violan las keyes de tránsiton",Qué pasa con motos y ciclistas que violan las Leyes deTránsito y afectan la seguridad de la circulación?,No creo utilizarla
2/11/2024 18:58:58,Masculino,40-50,Sí,Sí,Entre 5 y 10 horas a la semana,Más de 15 años,"Leyes, reglamentos",Una vez a la semana,¿Cuáles son los derechos de los ciclistas?,¿Qué autoridad puede detenerme mientras manejo un vehículo y revisar mis documentos de tránsito?,Sí
2/11/2024 19:04:27,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,¿Qué hacer si un policía quiere extorsionarme?,¿Cómo me aplica el no circula?,Sí
2/11/2024 20:16:42,Femenino,50-60,Sí,No,Menos de 5 horas a la semana,Más de 15 años,Google,Una vez al día,No se me ocurre nada ,No se me ocurre nada,Sí
2/12/2024 10:18:43,Femenino,20-30,Sí,No,Más de 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,¿Cómo repongo mi licencia de conducir?,¿Qué faltas implican corralon?,Sí
2/12/2024 17:38:56,Femenino,20-30,No,Sí,Entre 5 y 10 horas a la semana,Entre 5-15 años,Google,No creo utilizarla de forma frecuente,es ilegal que tu animal de compañía vaya en el asiento de copiloto?,no sé ,Sí
2/13/2024 0:27:58,Femenino,20-30,Sí,No,Entre 5 y 10 horas a la semana,Entre 1-5 años,Google,Una vez al día,¿Cuál es la multa por da una vuelta prohibida?,¿Qué pasa si rompes la pluma del segundo piso?,Sí
2/13/2024 12:47:34,Femenino,16-20,Sí,No,Menos de 5 horas a la semana,Entre 1-5 años,"Leyes, reglamentos",Más de una vez al día,Sobre las infracciones y qué conductas ameritan corralón o solo multa,Sobre el mantenimiento del carro,Sí
2/13/2024 12:50:57,No binario,40-50,No,No,Entre 10 y 20 horas a la semana,Entre 5-15 años,Google,Una vez al mes,Cuando no circulo? ,Que hago si me chocan y se van? ,Sí
2/13/2024 12:52:16,Femenino,+ de 60,Sí,Sí,Más de 20 horas a la semana,Más de 15 años,"Leyes, reglamentos",Una vez al mes,Donde denuncio policías corruptos ? ,Que hago si me extorsiona un policía ? ,Sí